model_type,hidden_size,pooling,optimizer,epochs,final_train_loss,final_train_acc,final_val_loss,final_val_acc
Markov,64,max,SGD,5,0.6786027073860168,0.59125,0.695375235080719,0.485
Markov,64,max,SGD,50,0.6667761778831482,0.64,0.6964706420898438,0.5
Markov,64,max,SGD,100,0.2405129313468933,0.97875,0.5838873839378357,0.695
Markov,64,max,SGD,250,0.608924367427826,0.75875,0.662566077709198,0.62
Markov,64,max,SGD,350,0.38669615387916567,0.94,0.6114719462394714,0.67
Markov,64,max,RMSProp,5,0.3520641207695007,0.9625,0.5764715600013733,0.71
Markov,64,max,RMSProp,50,0.06936393707990646,0.99625,0.5571425843238831,0.755
Markov,64,max,RMSProp,100,0.05057135380804539,0.99625,0.5520174443721771,0.75
Markov,64,max,RMSProp,250,0.07984627828001976,0.995,0.5636849594116211,0.76
Markov,64,max,RMSProp,350,0.047842409163713455,0.99875,0.5440478909015656,0.765
Markov,64,max,Adam,5,0.49259591221809385,0.92,0.618581120967865,0.72
Markov,64,max,Adam,50,0.06342056170105934,0.9975,0.5327529001235962,0.77
Markov,64,max,Adam,100,0.05467885628342629,0.99875,0.5775826668739319,0.72
Markov,64,max,Adam,250,0.050991250574588774,0.99875,0.514466917514801,0.765
Markov,64,max,Adam,350,0.0642136910557747,0.9975,0.5798587608337402,0.74
Markov,64,avg,SGD,5,0.6912743449211121,0.5625,0.695357255935669,0.44
Markov,64,avg,SGD,50,0.6934454965591431,0.51125,0.6947025370597839,0.44
Markov,64,avg,SGD,100,0.6897435712814332,0.545,0.6921026277542114,0.495
Markov,64,avg,SGD,250,0.6853420305252075,0.585,0.6921586060523987,0.46
Markov,64,avg,SGD,350,0.6841426086425781,0.57625,0.6929827690124511,0.515
Markov,64,avg,RMSProp,5,0.38687178373336795,0.855,0.631204993724823,0.68
Markov,64,avg,RMSProp,50,0.19424136102199555,0.94875,0.6234369695186615,0.72
Markov,64,avg,RMSProp,100,0.2508556663990021,0.92,0.6639897727966309,0.69
Markov,64,avg,RMSProp,250,0.13975724905729295,0.965,0.5923135495185852,0.72
Markov,64,avg,RMSProp,350,0.1414838057756424,0.965,0.6333381772041321,0.735
Markov,64,avg,Adam,5,0.5490399968624115,0.775,0.6631990909576416,0.615
Markov,64,avg,Adam,50,0.21461161673069,0.93625,0.6500750327110291,0.705
Markov,64,avg,Adam,100,0.18874497652053834,0.95625,0.6117913913726807,0.74
Markov,64,avg,Adam,250,0.15825354635715486,0.9625,0.6401666057109833,0.68
Markov,64,avg,Adam,350,0.14956254214048387,0.96625,0.6499770283699036,0.705
Markov,128,max,SGD,5,0.682710497379303,0.53,0.7062142825126648,0.49
Markov,128,max,SGD,50,0.6524461436271668,0.7,0.6759914755821228,0.62
Markov,128,max,SGD,100,0.3550908386707306,0.9325,0.5684646844863892,0.72
Markov,128,max,SGD,250,0.6018283009529114,0.795,0.64800607919693,0.705
Markov,128,max,SGD,350,0.5225609815120698,0.85625,0.6307089519500733,0.64
Markov,128,max,RMSProp,5,0.2822019118070602,0.97875,0.5515718531608581,0.745
Markov,128,max,RMSProp,50,0.05832287847995758,0.99625,0.5480482482910156,0.765
Markov,128,max,RMSProp,100,0.04365141622722149,1.0,0.5594799494743348,0.72
Markov,128,max,RMSProp,250,0.03767125323414802,1.0,0.525441427230835,0.765
Markov,128,max,RMSProp,350,0.03877906911075115,0.99875,0.538823698759079,0.76
Markov,128,max,Adam,5,0.44077049374580385,0.94875,0.6239709901809692,0.66
Markov,128,max,Adam,50,0.022145969420671464,1.0,0.5142966651916504,0.76
Markov,128,max,Adam,100,0.06326831340789794,0.9975,0.5840042114257813,0.745
Markov,128,max,Adam,250,0.053434163779020306,0.9975,0.5799098801612854,0.76
Markov,128,max,Adam,350,0.046476110219955444,0.9975,0.5464604568481445,0.735
Markov,128,avg,SGD,5,0.6924620342254638,0.51375,0.6924558806419373,0.5
Markov,128,avg,SGD,50,0.6930800008773804,0.51125,0.6935144186019897,0.455
Markov,128,avg,SGD,100,0.6920813226699829,0.5475,0.6935679149627686,0.465
Markov,128,avg,SGD,250,0.6908972859382629,0.57375,0.6925036406517029,0.48
Markov,128,avg,SGD,350,0.6919167613983155,0.52125,0.6938882994651795,0.535
Markov,128,avg,RMSProp,5,0.348751882314682,0.87,0.6719836068153381,0.665
Markov,128,avg,RMSProp,50,0.220416080057621,0.9275,0.660374436378479,0.705
Markov,128,avg,RMSProp,100,0.2075096583366394,0.94125,0.6600745177268982,0.675
Markov,128,avg,RMSProp,250,0.16988322257995606,0.9625,0.6535485625267029,0.705
Markov,128,avg,RMSProp,350,0.18726184278726576,0.94875,0.6809138226509094,0.69
Markov,128,avg,Adam,5,0.49548933625221253,0.81125,0.6433348727226257,0.675
Markov,128,avg,Adam,50,0.1279507564008236,0.98,0.591049518585205,0.75
Markov,128,avg,Adam,100,0.09041572511196136,0.9875,0.598813714981079,0.75
Markov,128,avg,Adam,250,0.13311265423893928,0.96875,0.5924215126037597,0.75
Markov,128,avg,Adam,350,0.14474207997322083,0.965,0.5940814137458801,0.725
HiddenMarkov,64,max,SGD,5,0.6832613372802734,0.5825,0.6964251661300659,0.52
HiddenMarkov,64,max,SGD,50,0.4986309027671814,0.8375,0.626035566329956,0.64
HiddenMarkov,64,max,SGD,100,0.32580781519412993,0.93,0.6062797045707703,0.685
HiddenMarkov,64,max,SGD,250,0.25080483317375185,0.95625,0.5692036259174347,0.675
HiddenMarkov,64,max,SGD,350,0.2596044760942459,0.95625,0.5707565784454346,0.68
HiddenMarkov,64,max,RMSProp,5,0.2758494025468826,0.95125,0.5122070622444153,0.775
HiddenMarkov,64,max,RMSProp,50,0.0525768281519413,0.995,0.5838129365444183,0.77
HiddenMarkov,64,max,RMSProp,100,0.12930403172969818,0.99125,0.6261503028869629,0.755
HiddenMarkov,64,max,RMSProp,250,0.08512240916490554,0.99375,0.6403414869308471,0.705
HiddenMarkov,64,max,RMSProp,350,0.1282446128129959,0.985,0.6464593768119812,0.695
HiddenMarkov,64,max,Adam,5,0.4295746898651123,0.91375,0.5954515719413758,0.7
HiddenMarkov,64,max,Adam,50,0.08037274643778801,0.995,0.6221140146255493,0.725
