hidden_size,pooling,optimizer,epochs,final_train_loss,final_train_acc,final_val_loss,final_val_acc
64,max,SGD,5,0.6879731106758118,0.53,0.7030580043792725,0.485
64,max,SGD,50,0.6889853954315186,0.525,0.7041766357421875,0.45
64,max,SGD,100,0.6352316188812256,0.72875,0.6667750358581543,0.615
64,max,SGD,250,0.6798812341690064,0.61375,0.6979531121253967,0.51
64,max,SGD,350,0.6586540770530701,0.665,0.6820849823951721,0.59
64,max,RMSProp,5,0.2654888528585434,0.95375,0.5656259608268738,0.71
64,max,RMSProp,50,0.06397739827632903,0.99625,0.6609020566940308,0.67
64,max,RMSProp,100,0.09233790725469589,0.9925,0.6493211078643799,0.695
64,max,RMSProp,250,0.13017803966999053,0.99,0.6946474790573121,0.68
64,max,RMSProp,350,0.06206935718655586,0.9925,0.7039436149597168,0.7
64,max,Adam,5,0.4858162033557892,0.85125,0.645617036819458,0.615
64,max,Adam,50,0.08469553470611572,0.99625,0.6452043294906616,0.715
64,max,Adam,100,0.13150445476174355,0.94625,0.801395034790039,0.675
64,max,Adam,250,0.11625035554170608,0.995,0.5934517347812652,0.705
64,max,Adam,350,0.12143182188272476,0.99375,0.6356563663482666,0.645
64,avg,SGD,5,0.6919249653816223,0.51625,0.6924495530128479,0.49
64,avg,SGD,50,0.6905077981948853,0.5325,0.6957789754867554,0.485
64,avg,SGD,100,0.6701031303405762,0.62625,0.6852034044265747,0.535
64,avg,SGD,250,0.6920008063316345,0.55,0.6941662120819092,0.46
64,avg,SGD,350,0.6908765172958374,0.54375,0.6962414121627808,0.445
64,avg,RMSProp,5,0.33674912214279173,0.86,0.7651137256622315,0.64
64,avg,RMSProp,50,0.3751779687404633,0.86,0.7565894269943237,0.635
64,avg,RMSProp,100,0.24206400275230408,0.92375,0.7267108273506164,0.7
64,avg,RMSProp,250,0.12310896381735802,0.96625,0.6650367069244385,0.76
64,avg,RMSProp,350,0.0955386669933796,0.96625,0.8723195648193359,0.68
64,avg,Adam,5,0.5028988814353943,0.75625,0.6785799908638,0.61
64,avg,Adam,50,0.32812643945217135,0.87875,0.9071972370147705,0.65
64,avg,Adam,100,0.33171814024448393,0.88375,0.7929053211212158,0.64
64,avg,Adam,250,0.3770977860689163,0.8575,0.8025757193565368,0.59
64,avg,Adam,350,0.24745119631290435,0.92375,0.7587238574028015,0.69
128,max,SGD,5,0.6786830472946167,0.555,0.6976667213439941,0.46
128,max,SGD,50,0.6425397086143494,0.7475,0.6811402988433838,0.59
128,max,SGD,100,0.6232796049118042,0.76875,0.67506272315979,0.585
128,max,SGD,250,0.6280129814147949,0.79375,0.6729748654365539,0.555
128,max,SGD,350,0.6509766411781311,0.6725,0.6818952560424805,0.55
128,max,RMSProp,5,0.2039138752222061,0.9575,0.650665123462677,0.65
128,max,RMSProp,50,0.04740702882409096,0.9975,0.6357807111740112,0.69
128,max,RMSProp,100,0.046008992791175846,0.9975,0.684212954044342,0.68
128,max,RMSProp,250,0.0672303432226181,0.99625,0.6697532677650452,0.705
128,max,RMSProp,350,0.0821747726202011,0.9975,0.6787222456932068,0.675
128,max,Adam,5,0.34123928427696226,0.9325,0.6380082559585571,0.65
128,max,Adam,50,0.07534448802471161,0.99375,0.7310179388523101,0.645
128,max,Adam,100,0.04446673028171062,0.99625,0.7666770058870316,0.705
128,max,Adam,250,0.09607795506715774,0.98375,0.6933139777183532,0.725
128,max,Adam,350,0.14094363629817963,0.99375,0.6183395290374756,0.685
128,avg,SGD,5,0.6928581833839417,0.5325,0.6938385486602783,0.51
128,avg,SGD,50,0.6874842691421509,0.56375,0.6941877317428589,0.465
128,avg,SGD,100,0.6915586686134338,0.53375,0.6923323202133179,0.52
128,avg,SGD,250,0.6929748225212097,0.51,0.6939921593666076,0.515
128,avg,SGD,350,0.6862935876846313,0.5925,0.6941597080230713,0.48
128,avg,RMSProp,5,0.4750144445896149,0.87625,0.63009521484375,0.665
128,avg,RMSProp,50,0.06302610427141189,0.98,0.8385302996635438,0.72
128,avg,RMSProp,100,0.14787986785173415,0.955,0.7062591886520386,0.7
128,avg,RMSProp,250,0.07477071713656187,0.9825,0.8415172815322876,0.68
128,avg,RMSProp,350,0.16819875836372375,0.95125,0.8130076646804809,0.67
128,avg,Adam,5,0.41225286841392517,0.83875,0.8781701135635376,0.635
128,avg,Adam,50,0.221889665722847,0.92,0.8312426900863648,0.645
128,avg,Adam,100,0.11142619580030441,0.9725,0.8547301769256592,0.67
128,avg,Adam,250,0.4510386562347412,0.8275,0.7536296796798706,0.655
128,avg,Adam,350,0.14201636418700217,0.95875,0.7940921354293823,0.695
